Прибыловский Владимир
Радов Егор
Сапарин Виктор
Ффорде Джаспер
Хаффнер Себастьян
Шилликот Зеб
Мрожек Славомир
Нестеренко Юрий
Нолль Ингрид
Тучков Владимир
Китс Джон
Рощин Валерий
Савельев Андрей
Стовер Мэтью
Чадович Николай
Чехов Антон
Шилова Юлия
Кишон Эфраим
Пикуль Валентин
Стогoв Илья
Тынянов Юрий
Клех Игорь
Ладинский Антонин
Реймонт Владислав
Рощин Михаил
Тырин Михаил
Шукшин Василий
Драу Михаэль
Казакевич Эммануил
Левицкий Андрей
Пермяк Евгений
Саймон Нил
Старджон Теодор
Троепольский Гавриил
Чуев Феликс
Шейкин Аскольд
Ладыженский Олег
Рейнольдс Аластер
Розенберг Джоэл
Флеминг Ян
Фюман Франц
Медведев Рой
Певзнер Керен
Пильняк Борис
Стокер Брэм
Кокотюха Андрей
Нарайан Разипурам
Полонский Георгий
Чайлд Линкольн
Чиа Мантэк
Мандельштам Осип
Ольшевский Рудольф
Принс Дерек
Рейтё Енё
Сарамаго Жозе
Торо Генри
Хольбайн Вольфганг
Энтони Беркли
Зыков Виталий
Рубальская Лариса
Стоппард Том
Уотс Алан
Шах Идрис
Ибботсон Ева
Лазутин Иван
Музиль Роберт
Нарежный Василий
Поль Игорь
Прист Кристофер
Спивак Мария
Уотсон Джуд
Флобер Гюстав
Чигиринская Ольга
Комаровский Евгений
Мулдашев Эрнст
Неумывакин Иван
Носик Борис
Пинтер Гарольд
Чалкер Джек
Чижевский Герман
Пелин Елин
Пристли Джон
Сароян Уильям
Сейлор Стивен
Спиллейн Микки
